stratum_id,label,outcome,metric,x,density,note
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,486007.173044893,9.254291745434778e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,519874.8281870457,8.778350700878844e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,553742.4833291984,8.282140220280589e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,587610.1384713512,7.780791848797266e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,621477.7936135039,7.285543907888089e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,655345.4487556567,6.809205361777961e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,689213.1038978094,6.365090197105069e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,723080.7590399622,5.960877830916239e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,756948.4141821149,5.596050469313818e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,790816.0693242676,5.263902909453682e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,824683.7244664204,4.955079133221543e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,858551.379608573,4.660666427620128e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,892419.0347507257,4.3743917288953626e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,926286.6898928785,4.093754983912895e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,960154.3450350312,3.8198993322985056e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,994022.0001771839,3.5563693735757965e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1027889.6553193367,3.3073806694653024e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1061757.3104614893,3.0763354864539703e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1095624.9656036422,2.865019578732032e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1129492.6207457948,2.673498532571896e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1163360.2758879475,2.5004720093150474e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1197227.9310301002,2.343801796536028e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1231095.5861722531,2.2010156377404862e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1264963.2413144058,2.0696952348182474e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1298830.8964565585,1.9477284625667601e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1332698.5515987112,1.8334387650901072e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1366566.2067408639,1.7256155623200662e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1400433.8618830168,1.6234725320299106e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1434301.5170251695,1.526561377467166e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1468169.1721673221,1.4346672472045843e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1502036.8273094748,1.3477075740680653e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1535904.4824516275,1.265649225309937e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1569772.1375937802,1.1884511101370725e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1603639.792735933,1.1160325459412787e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1637507.4478780858,1.0482629311756592e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1671375.1030202385,9.849659753151923e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1705242.7581623911,9.259315768091242e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1739110.4133045438,8.709297210964876e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1772978.0684466967,8.197227122083683e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1806845.7235888494,7.720739991588434e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1840713.378731002,7.277533891628746e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1874581.0338731548,6.865393762820689e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1908448.6890153075,6.482196780073882e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1942316.3441574601,6.125910081120779e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,1976183.999299613,5.794588112887135e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,2010051.6544417657,5.486373168440291e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,government_mbbs,annual_if_employed_kde,2043919.3095839184,5.1994995668827775e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,45727.656196907585,3.834237639839061e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,79595.31133906031,8.678728446214885e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,113462.96648121304,1.170979765894664e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,147330.62162336576,1.2910752869477373e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,181198.27676551847,1.3511791383812133e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,215065.9319076712,1.3366441848004375e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,248933.58704982395,1.3240556582765845e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,282801.24219197663,1.29496384186083e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,316668.8973341294,1.2251934852227742e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,350536.5524762821,1.1506954209254809e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,384404.20761843486,1.0913901753770466e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,418271.86276058754,1.0373627367635305e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,452139.5179027403,9.782782118568357e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,486007.173044893,9.141573228651731e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,519874.8281870457,8.493860412844025e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,553742.4833291984,7.890041059981853e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,587610.1384713512,7.366971348992664e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,621477.7936135039,6.93139899123686e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,655345.4487556567,6.56251174793211e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,689213.1038978094,6.228403894359958e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,723080.7590399622,5.901939393395587e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,756948.4141821149,5.568963893123004e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,790816.0693242676,5.228535931815485e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,824683.7244664204,4.887949211460098e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,858551.379608573,4.5565034568192194e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,892419.0347507257,4.241214662312015e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,926286.6898928785,3.9454963912392903e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,960154.3450350312,3.6699465036335015e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,994022.0001771839,3.413776654732477e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1027889.6553193367,3.1758823476563803e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1061757.3104614893,2.9552829882452333e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1095624.9656036422,2.7511293549961485e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1129492.6207457948,2.5625824194241687e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1163360.2758879475,2.388756295823546e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1197227.9310301002,2.2287616824044935e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1231095.5861722531,2.0817878462729207e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1264963.2413144058,1.9471456412744133e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1298830.8964565585,1.8242345234749777e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1332698.5515987112,1.7124496263143973e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1366566.2067408639,1.6110774544836502e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1400433.8618830168,1.5192295335681418e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1434301.5170251695,1.4358406292749892e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1468169.1721673221,1.3597286518002469e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1502036.8273094748,1.289691550486161e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1535904.4824516275,1.2246089205985845e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1569772.1375937802,1.163521355380892e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1603639.792735933,1.1056730023336302e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1637507.4478780858,1.05051599656848e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1671375.1030202385,9.976851083802423e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1705242.7581623911,9.469554420367792e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1739110.4133045438,8.981959099229489e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1772978.0684466967,8.513281399111944e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1806845.7235888494,8.062962669647056e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1840713.378731002,7.630491046475149e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1874581.0338731548,7.215332706641529e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1908448.6890153075,6.816941922635214e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1942316.3441574601,6.434814163519187e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,1976183.999299613,6.068549874315851e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,2010051.6544417657,5.717904829417585e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,private_mbbs,annual_if_employed_kde,2043919.3095839184,5.38281300133759e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,45727.656196907585,3.0924797189705013e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,79595.31133906031,1.1556212235996864e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,113462.96648121304,1.6939879013087503e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,147330.62162336576,2.007754863966387e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,181198.27676551847,2.0399885890389423e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,215065.9319076712,2.0083879042560977e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,248933.58704982395,1.895777502269003e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,282801.24219197663,1.757350673190157e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,316668.8973341294,1.651825567104061e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,350536.5524762821,1.514956792799675e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,384404.20761843486,1.3745762019693637e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,418271.86276058754,1.2489847869013952e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,452139.5179027403,1.1263011807792e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,486007.173044893,1.0073701464819999e-06,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,519874.8281870457,8.956932886607494e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,553742.4833291984,7.899570530175388e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,587610.1384713512,6.934738466885097e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,621477.7936135039,6.119124227156091e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,655345.4487556567,5.456316784804866e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,689213.1038978094,4.904870030376477e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,723080.7590399622,4.424593417825007e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,756948.4141821149,3.9947225833181526e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,790816.0693242676,3.607758290776565e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,824683.7244664204,3.260479093762646e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,858551.379608573,2.9492144040811506e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,892419.0347507257,2.6688553114684705e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,926286.6898928785,2.414193843572332e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,960154.3450350312,2.181702866338574e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,994022.0001771839,1.970102919267788e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,1027889.6553193367,1.7794477113057837e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,1061757.3104614893,1.609646298051592e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,1095624.9656036422,1.4594591558794983e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,1129492.6207457948,1.326402015263816e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,1163360.2758879475,1.2073586346260372e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,1197227.9310301002,1.0994094080992817e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,1231095.5861722531,1.000432761793157e-07,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,1264963.2413144058,9.092740623272415e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,1298830.8964565585,8.255302209304268e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,1332698.5515987112,7.491497136164713e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,1366566.2067408639,6.800620052445815e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,1400433.8618830168,6.179660076039733e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,1434301.5170251695,5.6229672008731814e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,1468169.1721673221,5.1231221427885845e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,1502036.8273094748,4.672209990463515e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,1535904.4824516275,4.262895318311482e-08,bins are display-only; KDE from continuous Monte Carlo draws
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,engineering,annual_if_employed_kde,1569772.1375937802,3.889042759564796e-08,bins are display-only; KDE from continuous Monte Carlo draws
